id,fecha,usuario,nombre,texto,likes,retweets,respuestas,vistas,es_verificado,url,hashtags,num_respuestas_descargadas
957663311360856069,2018-01-28T17:15:00Z,denaona,Bar Rest. Dena Ona,#chistorras #tapas #felizdomingo #carnes #menu #domingoenfamilia #buenapetito #buenprovecho #divino #gentebella #chacao #elrosal #tradicion #sabor #teprovoca #demasiadobueno https://pbs.twimg.com/media/DUo11NfW0AMrDE-.png,0,0,0,0,False,https://twitter.com/denaona/status/957663311360856069,"chistorras,tapas,felizdomingo,carnes,menu,domingoenfamilia,buenapetito,buenprovecho,divino,gentebella,chacao,elrosal,tradicion,sabor,teprovoca,demasiadobueno",0
956519467630190593,2018-01-25T13:29:47Z,Tequefrench,TEQUEFRENCH®,Los jueves son los días de #tequeños de #chistorras con una 🍻🍻🍻bien fría!!! Te esperamos hoy en nuestro #espacioculturaltequefrench. 🎤🎶 A las 6️⃣pm https://pbs.twimg.com/media/DUY9UFeWsAARZ-Q.jpg,2,2,0,0,False,https://twitter.com/Tequefrench/status/956519467630190593,"tequeños,chistorras,espacioculturaltequefrench",0
953822970945908736,2018-01-18T02:54:52Z,Brisa_de_espana,Brisa de España,"Mixed Casserole: mushrooms, chistorra sausage and shrimp sautéed combine three appetizers into one incredible dish. #appetizer #mushrooms #chistorras #shrimp https://pbs.twimg.com/media/DTyo6WWVoAIkKC0.jpg",0,1,0,0,False,https://twitter.com/Brisa_de_espana/status/953822970945908736,"appetizer,mushrooms,chistorras,shrimp",0
946106358352539649,2017-12-27T19:51:48Z,TravelAndrew,Andrew Collins,#Chilaquiles with habanero-squash blossom sauce and #chistorras (a Basque-style sausage) at… https://www.instagram.com/p/BdN9N8mgjdC/,0,0,0,0,False,https://twitter.com/TravelAndrew/status/946106358352539649,"Chilaquiles,chistorras",0
939279431042027520,2017-12-08T23:44:01Z,Informe21,Informe21.com,Prepare unas #chistorras al vino tinto https://buff.ly/2nJy3S3 #Receta https://pbs.twimg.com/media/DQj9qfyXkAAHTzJ.jpg,1,0,0,0,False,https://twitter.com/Informe21/status/939279431042027520,"chistorras,Receta",0
938088110218498048,2017-12-05T16:50:08Z,VilasecaCol,Vilaseca,Deléitate con el sabor de la #altacharcutería. Nuestras #chistorras tienen un golpe de curación en cava que les da carácter y profundidad en su sabor. Disfruta los #pequeñosplaceres de Vilaseca en tu hogar. https://pbs.twimg.com/media/DQTCKa4W0AYiwZF.jpg,2,0,0,0,False,https://twitter.com/VilasecaCol/status/938088110218498048,"altacharcutería,chistorras,pequeñosplaceres",0
936007147191709697,2017-11-29T23:01:08Z,BelleVueCaracas,BelleVueCaracas,Un batido de #fresa combina perfectamente con el sabor de nuestras #chistorras. https://pbs.twimg.com/media/DP1dif1W0AMbjE6.jpg,0,0,0,0,False,https://twitter.com/BelleVueCaracas/status/936007147191709697,"fresa,chistorras",0
933749754588221442,2017-11-23T17:31:04Z,BelleVueCaracas,BelleVueCaracas,"En #BelleVue tenemos una amplia carta de #embutidos, desde #chistorras hasta #JamónSerrano. Descubre su historia: http://bellevuecaracas.com/2017/09/11/descubre-la-historia-de-los-embutidos/",0,0,0,0,False,https://twitter.com/BelleVueCaracas/status/933749754588221442,"BelleVue,embutidos,chistorras,JamónSerrano",0
930811587941797888,2017-11-15T14:55:50Z,denaona,Bar Rest. Dena Ona,Mitad de semana y buen día para almorzar algo diferente. Pasa por @denaona y disfruta una excelente comida en el mejor ambiente. #chistorras #menu #tapas #miercoles #divino #teprovoca #buenprovecho #chacao #elrosal #restaurant #marisqueria https://pbs.twimg.com/media/DOrnyQuXUAAI1vL.png,0,0,0,0,False,https://twitter.com/denaona/status/930811587941797888,"chistorras,menu,tapas,miercoles,divino,teprovoca,buenprovecho,chacao,elrosal,restaurant,marisqueria",0
926464506808631297,2017-11-03T15:02:05Z,BelleVueCaracas,BelleVueCaracas,Antes de iniciar tu plato principal saborea unas ricas y crocantes #chistorras especiales de #BelleVue. https://pbs.twimg.com/media/DNt2jvPW0AAoq8R.jpg,1,0,0,0,False,https://twitter.com/BelleVueCaracas/status/926464506808631297,"chistorras,BelleVue",0
926061792035594241,2017-11-02T12:21:51Z,Brisa_de_espana,Brisa de España,Delicious Breakfast every day of the week ☕️ #chistorras #breakfast #escrambledeggs #brisadeespana https://pbs.twimg.com/media/DNoIR7NUQAAKn4o.jpg,1,0,0,0,False,https://twitter.com/Brisa_de_espana/status/926061792035594241,"chistorras,breakfast,escrambledeggs,brisadeespana",0
